"Text"," topic "
"استمر المنتخب اليوناني في تفوقه على نظيره المصري في إجمالي عدد مرات الفوز، وفقًا لتاريخ مواجهتهما.","sport"
"استمرار تفوق اليونان","sport"
"البطولة صعبة على جميع الفريق، وبطولات الكؤوس لا تعترف بالمستويات أو التاريخ، كما أن النصر يملك مقومات الفوز بالبطولة، بسبب امتلاكه لاعبين أكفاء، سواء محليين أو محترفين.""","sport"
"إذن لماذا وافقت على القيام بالمهمة؟","sport"
"أتوجه بجزيل الشكر إلى رئيس القادسية السابق، فواز الحساوي، على مدحه لي، وثقته في، بالتأكيد على رغبته في إسناد مهمة تدريب القادسية لي، وهو أمر أكثر من رائع.","sport"
"أضاف بول بوجبا الهدف الثاني لمنتخب فرنسا عند بداية الشوط الثاني، عبر ركلة حرة مباشرة نفذها ببراعة على يمين الحارس.","sport"
"أعلن الاتحاد اللبناني لكرة القدم موعد مباراتي نصف نهائي كأس لبنان، بحيث تقام المباراة الأولى في هذا الدور بين العهد والإخاء الأهلي عاليه يوم الجمعة 6 أبريل/نيسان المقبل.","sport"
"بداية فرص كوستاريكا، بدأت مع الدقيقة 56، حين قام براين رويس، بمحاولة جريئة، لكن حارس تونس، تألق وأخرج الكرة إلى ركلة ركنية.","sport"
"تدريب المنتخب طموح مشروع لجميع المدربين الوطنيين، لكنني لا أطمح لتدريب المنتخب في الوقت الحالي، خاصة وأنني مرتبط بعقد مع نادي النصر.","sport"
"تعرض سيرجيو روميرو، حارس مرمى منتخب الأرجنتين، للإصابة خلال المباراة الودية أمام إسبانيا، المقامة على ملعب واندا ميتروبوليتانو.","sport"
"تعرض عمر جابر، المحترف في لوس أنجلوس الأمريكي، إلى إصابة قوية أثناء تدخله في كرة مشتركة مع أحد لاعبي المنتخب اليوناني.","sport"
"حارس الأرجنتين يغادر ودية إسبانيا للإصابة,""روميرو","sport"
"حاليا أنا مع نادي النصر، وعقدي ينتهي بنهاية الموسم الجاري، وهناك مفاوضات من قبل مجلس إدارة النادي بتجديد عقدي.","sport"
"حرص كوبر على إشراك بعض الوجوه الجديدة في مباراة اليونان من أجل الاطمئنان على مستوياتهم قبل اختيار القائمة النهائية المشاركة بالمونديال.","sport"
"حظيت مباراة المنتخب المصري أمام نظيره اليوناني، التي انتهت بفوز الأخير بهدف دون رد وديًا اليوم ضمن استعدادات الفراعنة لخوض منافسات كأس العالم في الصيف المقبل بالعديد من المشاهد.","sport"
"حقق منتخب تونس، فوزا معنويا ثمينا، على حساب نظيره الكوستاريكي، بهدف نظيف، في إطار المباراة الودية التي جمعت الفريقين، على ملعب نيس بفرنسا.","sport"
"حينما أتلقى العرض الرسمي من قبل القادسية، سيكون لكل حادث حديث.","sport"
"سقط المنتخب الدنماركي لكرة القدم، في فخ التعادل السلبي مع ضيفه التشيلي، في المباراة الودية التي أقيمت بينهما اليوم على استاد """"ألبورج بارك"""" ضمن استعداداته لبطولة كأس العالم 2018 بروسيا.","sport"
"شارك محمد عواد، حارس مرمى الفريق الأول لكرة القدم بفريق الإسماعيلي، في المباراة منذ بدايتها، حيث يسعى الجهاز الفني للفراعنة بقيادة هيكتور كوبر لتجربته قبل المونديال.","sport"
"ظهور الوجوه الجديدة","sport"
"فاز المنتخب الفرنسي، على مضيفه الروسي، بثلاثة أهداف لهدف، في المباراة الودية التي جمعت بينهما اليوم ضمن الاستعداد لمونديال 2018. ","sport"
"في البداية، تلقيت اتصالا هاتفيا من رئيس لجنة التسوية، مشعل الربيع، ثم اتصالا آخر من أحمد عبد الحميد، للتأكيد على قيادة الكويت في مواجهتي مصر وفلسطين.","sport"
"فيما تقام المباراة الثانية بين التضامن صور والنجمة يوم السبت 7 نيسان/أبريل، علمًا بأن المباراتين سيقاما على ملعب """"الشهيد رفيق الحريري"""" في صيدا.","sport"
"كيف سارت المفاوضات لتدريب المنتخب الكويتي الأول؟","sport"
"لا أخفيك سرا في أنني أطمح بالفوز بلقب أغلى الكؤوس الكويتية، وهو الأمر الذي أجهز له اللاعبين فنيا ونفسيا.","sport"
"لا، لم أتلق أي عرض رسمي حتى أقبل أو أرفض، لكن ترشيحي من طرف شخصية مرموقة مثل الحساوي، بتدريب القلعة الصفراء، صاحبة الجماهيرية العريضة والبطولات، شرف كبير.","sport"
"لماذا تم الإبقاء على رادي؟","sport"
"ما رأيك في تصريح الحساوي بإسناد مهمة تدريب القادسية لك حال توليه جهاز الكرة؟","sport"
"ما هو طموحك في بطولة كأس سمو الأمير؟","sport"
"مشاركة عواد","sport"
"مع انطلاقة الشوط الثاني، كاد منتخب تونس أن يضاعف النتيجة في الدقيقة 48، عن طريق نعيم السليتي، لكن الحارس نافاس تصدى لمحاولته.","sport"
"من ستختار.. النصر أم القادسية؟","sport"
"موقع ، أجرى مقابلة صحفية مع ظاهر العدواني، للوقوف على أسباب عدم تدريبه للمنتخب الكويتي.. وإلى نص الحوار:","sport"
"هذا السؤال يجب توجيهه للجنة التسوية، وعلى أي حال، أنا أؤيد بقاء رادي في المهمة، وأتمنى له التوفيق.","sport"
"هذا أمر طبيعي للغاية، ليس من المنطق ألا يلبي أي مدرب، نداء منتخب بلاده، كما أن الاتصال كان عبر الرجل الأول في اتحاد الكرة.","sport"
"هل ضمن النصر البقاء في الدوري؟","sport"
"هل كلامك يعني الموافقة؟","sport"
"هل كنت تطمح لتدريب المنتخب الكويتي؟","sport"
"هناك 6 أندية من بينها النصر، لم تضمن البقاء بنسبة 100 بالمئة.","sport"
"واحتل الوكرة المركز الثاني في جدول ترتيب دوري الدرجة الثانية، ليضطر إلى خوض المباراة الفاصلة مع الخريطيات، والذي احتل المركز الحادي عشر في جدول الترتيب بدوري نجوم قطر.","sport"
"واختتم: """"حاولنا جاهدين تخطي جميع العقبات التي واجهتنا، والآن أمامنا عقبة واحدة هي المباراة الفاصلة وبإذن الله سنتخطاها سوياً من خلال الحضور الكبير الذي نتمناه سواء في التدريبات خلال هذه الفترة بملعب النادي أو في المباراة المصيرية """".""","sport"
"واستطاع لاعب العين الإماراتي، إحراز 7 أهداف حتى الآن في مسابقة الدوري، بداية من فترة انتقاله خلال انتقالات يناير/كانون ثان الماضي، قادمًا من مصر المقاصة.","sport"
"واستطاع محمد مجدي، أن يحرز 6 أهداف، إضافة إلى تمكنه من صناعة 3 آخرين.","sport"
"وانتهى الشوط الأول بالتعادل السلبي، ثم سجل ماتيو فيليبس، هدف المباراة الوحيد، في الدقيقة 48.""","sport"
"وأتيحت في الدقيقة 38، فرصة جديدة لمنتخب تونس، لمضاعفة النتيجة، عن طريق وهبي الخزري، الذي تسرع في التصويب، لتمر تسديدته، فوق مرمى نافاس بقليل.","sport"
"وأحرز هدف منتخب اليونان الوحيد نيكولاوس كاريليس في الدقيقة 30 من عمر الشوط الأول ليكبد منتخب مصر الخسارة الودية الثانية، بعد الهزيمة أمام البرتغال (2-1) يوم الجمعة الماضي.","sport"
"وأشار رئيس نادي الوكرة إلى أن هذه الفترة التي تسبق خوض المباراة الفاصلة أمام فريق الخريطيات تحتاج لتضافر كافة الجهود حتى يتمكن الفريق من العودة إلى مصاف الكبار مرة أخرى، خاصة وأن هذا هو مكانه الطبيعي بالفعل ووجوده في الدرجة الأولى هو القاعدة وما دون ذلك هو الاستثناء.","sport"
"وأضاف: """"ثقتنا كبيرة في جميع لاعبينا الذين يملكون الرغبة والإصرار اللازمين لتحقيق الفوز المطلوب، ورغم أن معظم الترشيحات تصب في مصلحة فريق الخريطيات بسبب فارق المستوى بين منافسات الدرجة الأولى والثانية، إلا أن اسم الوكرة والتاريخ الرائع للنادي سيكون حاضراً بقوة أمام أعين اللاعبين خلال هذا اللقاء"""".","sport"
"وبسام، هو نجل اللاعب العراقي هشام علي، ويقيم في قطر منذ فترة طويلة، ومثل المنتخبات القطرية منذ صغره.""","sport"
"وبلغ الإخاء هذا الدور بفوزه على النبي شيت (2-0)، في ربع النهائي، فيما تأهل التضامن صور بفوزه على السلام زغرتا (5-4) بركلات الترجيح بعد التعادل (1-1) في الوقتين الأصلي والإضافي.""","sport"
"وبلغ العهد هذا الدور بعد فوزه على طرابلس (6-5) بركلات الترجيح بعد التعادل (1-1)، في الوقتين الأصلي والإضافي، أما النجمة فوصل بفوزه على الأنصار (1-0) في ربع النهائي.","sport"
"وتابع: """"رغم كل الظروف التي واجهتنا والتي ما زالت تواجهنا إلا أننا حاولنا بكل ما أوتينا من قوة ولم يدخر أي أحد من أعضاء الفريق سواء من اللاعبين أو الجهازين الفني والإداري ومعهم مجلس الإدارة أي جهد للعودة لدوري المحترفين"""".","sport"
"وتأهل الشحانية مباشرة إلى دوري المحترفين بعد حلوله في الصدارة، ويتمسك الوكرة بأمل العودة إلى مصاف الكبار من جديد بعد هبوطه الموسم الماضي.","sport"
"وتدخل حارس مرمى مانشيستر يونايتد، في كرة مع المهاجم دييجو كوستا، الذي انفرد بالمرمى واستطاع إحراز الهدف الأول لإسبانيا في الدقيقة 13.","sport"
"وجاء اختيار اللاعب بعد المستوى المميز الذي قدمه في مباراتي العنابي مع العراق وسوريا.","sport"
"وجه الشيخ خليفة بن حسن آل ثاني، رئيس نادي الوكرة القطري لكرة القدم، رسالة إلى جماهير النادي طالبهم فيها بمساندة الفريق، خلال الفترة المقبلة حتى يتمكن من تحقيق الهدف المرجو بالعودة مرة أخرى إلى دوري المحترفين القطري.","sport"
"وخاض الشحات، 12 مباراة مع فريق العين حتى الآن، منها 8 مباريات بالدوري، و3 في دوري أبطال آسيا ولقاء وحيد في الكأس.","sport"
"وسجل مهاجم باريس سان جيرمان، كيليان مبابي، هدفين لمنتخب فرنسا، في الدقيقتين 40 و83، بينما سجل بول بوجبا هدفًا في الدقيقة 49، وجاء الهدف الوحيد لمنتخب روسيا عبر سمولوف بالدقيقة 68.","sport"
"وسجل هدف اللقاء، النجم التونسي وهبي الخزري، في الدقيقة 36.","sport"
"وسقط الثنائي على الأرض ، ليتدخل الجهاز الطبي لكل منتخب، ويستكمل اللاعبان المباراة بصورة طبيعية.","sport"
"وسكنت شباك عواد 18 هدفًا، إلا أنه نجح في الخروج بشباك نظيفة في 12 لقاء.","sport"
"وسنحت أول فرصة لمنتخب روسيا بعد مرور 15 دقيقة، بعد عرضية من دزاجوييف من الجهة اليسرى إلى سومولوف الذي سدد الكرة بيسراه، لكن لوريس تصدى للكرة بصعوبة قبل أن يشتتها الدفاع الفرنسي.","sport"
"وسيواجه الوكرة فريق الخريطيات في مباراة فاصلة لتحديد الفريق الثاني الصاعد لدوري النجوم، مع الشحانية، في 14 أبريل المقبل على ملعب حمد بن خليفة بالنادي الأهلي.","sport"
"وشارك عمر جابر في مباراة المنتخب المصري منذ بديتها كظهير أيسر، علمًا بأن مركزه الأساسي ظهير أيمن.""","sport"
"وشارك عواد في 26 مباراة مع الإسماعيلي في الموسم الحالي، بمعدل دقائق بلغ 2295 دقيقة.","sport"
"وشارك قفشة، في 25 مباراة مع فريقه البترولي بالموسم الحالي، بواقع 24 مباراة بمسابقة الدوري ولقاء وحيد بكأس مصر.","sport"
"وصنع المنتخب الفرنسي فرصته الأولى في المباراة عبر عرضية مارسيال باتجاه المُتقدم داخل منطقة الجزاء بول بوجبا، لكن لوفنيف، خرج لالتقاط الكرة في الوقت المناسب.","sport"
"وطالب منتخب تونس، في الدقيقة 85، باحتساب ركلة جزاء لصالحه، بعد ارتكاب خطأ على الخنيسي، لكن الحكم الفرنسي شنايدر، أمر بمواصلة اللعب، لتنتهي المباراة بفوز تونس بهدف نظيف.""","sport"
"وظلت السيطرة التونسية فوق الميدان، لكن دون خطورة حقيقية، وفي الدقيقة 32، قام مدرب تونس، نبيل معلول، بتغيير اضطراري، بإشراك أسامة الحدادي، بدلًا من علي معلول.","sport"
"وظهر الثنائي محمد مجدي قفشة لاعب إنبي، والذي شارك في المباراة منذ بدايتها، وحسين الشحات لاعب العين الإماراتي، الذي ظهر في المباراة بداية من الشوط الثاني.","sport"
"وعادت فرنسا لتهديد مرمى روسيا بعد تمريرة من مارسيال لمبابي داخل منطقة الجزاء، لكن تسديدة الأخير قوبلت برد فعل ممتاز من الحارس.","sport"
"وعند الدقيقة 40، نجح مبابي في تسجيل الهدف الأول لفرنسا، بعد تمريرة رائعة من بوجبا له وضعته في موقف مميز، وراوغ مبابي المدافع نويستادير قبل أن يضع الكرة ببراعة في المرمى.","sport"
"وفرض منتخب تونس، سيطرته من البداية، بفضل تشكيلة متوازنة، وخطة (5-2-2-1)، وكاد لاعبو نسور قرطاج، أن يفتتحوا التسجيل، في الدقيقة السابعة.","sport"
"وفشل منتخب تشيلي في بلوغ نهائيات كأس العالم، لكنه يخوض المباراة ضمن محاولاته لاستعادة الاتزان بعد الإخفاق في التصفيات، إضافة لاستعداداته المبكرة للدفاع عن لقبه القاري في النسخة الجديدة من بطولة كأس أمم أمريكا الجنوبية (كوبا أمريكا) والتي تستضيفها البرازيل منتصف العام المقبل.""","sport"
"وفي الدقيقة 14، حاول منتخب كوستاريكا، هز الشباك، عن طريق برويس، لكن الحارس التونسي معز حسن، تصدى للهجمة.","sport"
"وفي الدقيقة 42، قام أنيس البدري، بهجمة سريعة، وكاد أن يسجل الهدف الثاني لتونس، لكن تصويبته القوية، مرت بجانب مرمى الحارس نافاس. ","sport"
"وفي الدقيقة 75، كاد فخر الدين بن يوسف، أن يسجل لتونس، لكن كرته الجميلة تصدت لها العارضة. ","sport"
"وقال في تصريحات للموقع الرسمي للنادي: """"الجميع الآن يجب أن يكونوا على قلب رجل واحد من أجل تحقيق هذا الهدف وإسعاد الجماهير بتخطي عقبة الخريطيات الصعبة، وثقتي كبيرة في قدرة لاعبينا القدامى على القيام بدورهم في هذه الفترة بتشجيع الفريق ودعمه معنويا"""".","sport"
"وكان محمد الشناوي، حارس الأهلي، قد شارك في مباراة المنتخب المصري أمام البرتغال والتي فاز بها الأخير بهدفين مقابل هدف.","sport"
"ولم يستطع عمر جابر استكمال المباراة، حيث خرج وشارك أيمن أشرف، لاعب الأهلي، بدلاً منه.","sport"
"ومع الدقيقة 26 طلب روميرو التبديل متأثرا بإصابته حيث لم يتمكن من استكمال اللقاء، ليقوم المدرب خورخي سامباولي بالتغيير الأول بالدفع بويلي كاباييرو.""","sport"
"ونجح منتخب تونس، في افتتاح النتيجة، في الدقيقة 36، عن طريق اللاعب وهبي الخزري، الذي تلقى تمريرة أنيس البدري، وراوغ دفاع وحارس الخصم، ليسكن الكرة داخل الشباك.","sport"
"ويتفوق المنتخب اليوناني على نظيره المصري في تاريخ مواجهات الفريقين، حيث نجح أحفاد الفراعنة في تحقيق الفوز خلال 3 مواجهات، بينما فاز أبناء الإغريق في 6 مباريات، في حين سيطر التعادل بينهما على 4 لقاءات.","sport"
"ويستعرض """""""" في التقرير التالي أبرز مشاهد المباراة:-","sport"
"ويلعب المنتخب الدنماركي في المجموعة الثالثة بالمونديال مع بيرو وفرنسا وأستراليا.","sport"
"يعد ظاهر العدواني، المدير الفني للنصر الكويتي، ضمن أفضل المدربين على الساحة المحلية، وأصبح مرشحًا لتدريب القادسية، كما تم ترشيحه، لقيادة المنتخب الكويتي موقتا.","sport"
" حصل لاعب منتخب قطر، بسام هشام الراوي، على جائزة أفضل لاعب في بطولة الصداقة الدولية، التي اختتمت مساء اليوم في البصرة.","sport"
"1,بالصور.. منتخب اسكتلندا يتخطى المجر بهدف نظيف,""تغلب المنتخب الاسكتلندي على مضيفه المجري، بهدف نظيف، في المباراة الودية، التي أقيمت بينهما، اليوم الثلاثاء، ضمن استعدادات الفريقين للارتباطات المقبلة.","sport"
"2,مشاركة عواد والوجوه الجديدة أبرز ملامح لقاء مصر واليونان,""المنتخب المصري","sport"
"3,رئيس الوكرة يستنجد بالجماهير قبل مواجهة الخريطيات,""الشيخ خليفة بن حسن آل ثاني","sport"
"4,بالصور.. فوز معنوي ثمين لتونس على كوستاريكا,""فرحة لاعبي المنتخب التونسي","sport"
"5,بالصور: الدنمارك تتعادل مع تشيلي استعدادا لكأس العالم,""جانب من اللقاء","sport"
"6,العدواني في حوار ل: أطمح في تدريب المنتخب الكويتي مستقبلًا,""ظاهر العدواني","sport"
"7,لاعب قطر الأفضل في بطولة الصداقة الدولية,""بسام هشام الراوي","sport"
"8,تحديد موعد مباراتي نصف نهائي كأس لبنان,""فرحة الأنصار بلقب النسخة الماضية","sport"
"9,بالصور: مبابي يقود فرنسا لفوز ثمين على روسيا,""فرحة لاعبي المنتخب الفرنسي","sport"
"بلينقهام لاعب فاشل","sport"
"ميسي لاعب ليس بجودة رونالدو","sport"
"وفقد نهضة بركان فرصة تقاسم الصدارة مع الرجاء، الذي تعادل مع مولودية وجدة (2/2).","sport"
"4500 كتابا حظرته السلطات الكويتية خلال السنوات الخمس الماضية. هذا الرقم استفز الفنان الكويتي محمد شرف، فقرر إنشاء مقبرة للكتب، كطريقة للتعبير عن رفضه للحظر جملة وتفصيلا.","Politics"
"احتفت حديقة حيوان ""لا ميناجيري"" بالعاصمة الفرنسية باريس بأول مولود لها هذا العام من حيوان انسان الغاب المنتمي لفصيلة البورنيان أورانغوتان النادرة. وقام مسؤولو الحديقة بإطلاق اسم ""جافا"" على المولودة التي تعد أول حيوان لإنسان الغاب يولد عبر حدائق الحيوان الست الموجودين في فرنسا.","Politics"
"احذروا الأفاعي في المرحاض!","Politics"
"الآنين الخافت الذي كانت تخرجه حنجرة الصغيرة أماني التي طمرها ركام البيت بعد قصفه، ذاك الأنين أضفى على المشهد مزيداً من الوجع في قلب تلك الجدة الثكلى التي قُدِّرَ لها أن تتشارك الفاجعة مع حفيدتها الصغيرة لأمدٍ ليس بالقصير..","Politics"
"الصين لباكستان.. المؤسسة العسكرية هي العمود الفقري للعلاقات بين البلدين","Politics"
"القبض على افعى ضخمة في الصين بعد التهامها لقط","Politics"
"الكاتبة الكويتية مي النقيب، كانت قد غردت معبرة عن صدمتها بأن كتابها the hidden lights of objects ممنوع في بلدها الكويت.","Politics"
"الكاتبة حياة الياقوت ، من الكويت أيضاً ، غردت لتدعم الرقابة، ملمحة إلى أن من يطالبون بتحجيم الرقابة على الكتب، هم أنفسهم يمارسون الرقابة على أبنائهم.","Politics"
"المزيد من الأخبار على يورونيوز:","Politics"
"المزيد من الأخبار على يورونيوز:","Politics"
"المهربون السابقون للمهاجرين في النيجر...بين الخطر وحرب الشرعية الاقتصادية","Politics"
"الهواء في مدينة الرقة السورية لا زال مشبعاً برائحة الموت، فيما الدمار ما برح يمتص بريق العيون ويتركها شاخصة في اللاشيء، الذي التهم كل شيء.","Politics"
"إليكم بعض التغريدات حول الفكرة:","Politics"
"أفعى عملاقة تتحول إلى طبق شهي","Politics"
"آلاف يحتجون في روما على تدهور حالة العاصمة الإيطالية","Politics"
"باكستان: الإفراج عن رئيس الوزراء السابق نواز شريف وابنته","Politics"
"بريطانيا تتعهد بسن قانون في 2019 لمكافحة تلوث الهواء المميت","Politics"
"تسعير خام دبي لشهر أبريل عند 0.10 دولار للبرميل دون العماني","Politics"
"تورونتو (رويترز) – قالت وزيرة الخارجية الكندية كريستيا فريلاند يوم الاثنين إن بلادها ستطرد دبلوماسيا من فنزويلا كما ستمنع سفير فنزويلا من العودة إليها بعدما طردت فنزويلا مبعوثين من البرازيل وكندا انتقدوا سجلها الحقوقي.","Politics"
"حصري ليورونيوز: الفنان الكويتي محمد شرف ينعي الكتب المحظورة في مقبرة بلا موتى!","Politics"
"حملت سيدة عن طريق الخطأ ثعبانا، في احدى حقائبها في رحلتها من أستراليا إلى بريطانيا، حيث كانت مختبئة في فردة حذائها.","Politics"
"ربما إلى الآن لم تدرك الصغيرة أماني أحمد ما حلّ بوالديها وشقيقها الأكبر الذين قضوا في غارة جوية.. أو ربما أنها لا تعلم أصلاً بأن لكل طفل أبٌ وأمٌ يرعيانه ويمدّانه بأسباب العيش والأمان، أو ربما أنها تعلم ولكن ليس بيدها حيلة.. هي الآن تعيش في كنف جدتها، الجدة التي تتذكر تفاصيل اليوم المهول الذي قضى فيه ابنها وزوجته وحفيدها إثر قصف منزل العائلة..","Politics"
"روما (رويترز) - تظاهر آلاف المحتجين أمام مبنى بلدية روما يوم السبت للتنديد بتدهور أحوال العاصمة الإيطالية مع انتشار الحفر والقمامة في الشوارع في حين تجوب الخنازير البرية الطرقات.","Politics"
"سنغافورة (رويترز) - قالت دائرة شؤون النفط في حكومة دبي يوم الأربعاء إن الإمارة حددت فرق السعر الرسمي عن العقود الآجلة للخام العماني لشهر أبريل نيسان عند خصم قدره 0.10 دولار للبرميل.","Politics"
"شاهد.. ثعبان يسافر من أستراليا إلى بريطانيا مختبئا في حذاء لـ 40 ساعة","Politics"
"شاهد: الرقة السورية بعد عام على دحر داعش.. عيون شاخصة وهواء مشبع برائحة الموت","Politics"
"شاهد: حديقة حيوان باريس تحتفل بمولد صغيرة انسان الغاب ""جافا""","Politics"
"شاهد: رئيس وزراء باكستان عمران خان يلتقي ولي عهد أبو ظبي محمد بن زايد","Politics"
"شرف كان قد وضع ألواحه على شكل شواهد قبور في ساحة عند أرض المعارض، على الساعة السابعة صباحا، قبل أن يفتتح المعرض أبوابه، تركها ومشى، بعد أن التقط صورا لما أبدع، وبدأ بنشر الصور على مواقع التواصل الاجتماعي، ليبدأ تفاعل الجمهور معها.","Politics"
"عام مضى على طرد تنظيم داعش من الرقة الواقعة في شمال سوريا هذه المدينة الحزينة التي لا زالت تئن تحت وطأة الفاجعة..","Politics"
"عمران خان تعليقاً على اتصال ماكرون : أنا مشغول أخبروه أن يتصل بعد ثلاثين دقيقة","Politics"
"ففي ساحة ترابية مقابلة لمعرض الكتاب الدولي، الذي انطلق في الرابع عشر من الشهر الجاري، زرع شرف حوالي 200 لوح حجري، خط عليها أسماء بعض تلك الكتب، في محاولة للفت الانتباه إلى حجم الهفوة التي حصلت، إلا أن المقبرة لم تصمد، فالرواج الذي لاقته الفكرة، دفعت بالسلطات إلى إزالة هذه المقبرة بعد ساعات فقط، حيث بدأ المغردون بالتعليق وإبداء الرأي على #منع في الكويت، ليكون من الهاشتاغات المتصدرة على تويتر.","Politics"
