"Text"," topic "
"في مثل هذه الأيام من العام الماضي سيطرت قوات سوريا الديمقراطية (وهي تحالف فصائل كردية وعربية تدعمه واشنطن) على الرقة بعد أربعة أشهر من المعارك مع تنظيم داعش، لكن منظمة العفو الدولية اتهمت التحالف بقيادة الولايات المتحدة بعدم الاعتراف بما حدث والتحقيق فيما وصفته بأنه ""نطاق صادم من القتلى المدنيين والدمار الذي تسبب فيه في الرقة"" التي استخدمت فيها داعش المدنيين دروعا بشرية.","Politics"
"قال رئيس الوزراء الباكستاني عمران خان لقناة العربية خلال زيارة للسعودية اليوم الأربعاء إن بلاده ""تقف مع السعودية دائما"".","Politics"
"قالت وزارة الدفاع بالنيجر إن قوات وضربات جوية قتلت أكثر من 280 من مسلحي جماعة بوكو حرام المتشددة منذ بدأت الحكومة عملية ضد الجماعة الأسبوع الماضي.","Politics"
"قوات النيجر تقتل أكثر من 280 من مقاتلي بوكو حرام","Politics"
"كندا بصدد طرد دبلوماسي فنزويلي في تحرك انتقامي","Politics"
"لندن (رويترز) - تعهدت بريطانيا يوم الاثنين بمكافحة تلوث الهواء وسن قانون جديد هذا العام بشأن جودة الهواء لإنقاذ الأرواح وتوفير مليارات الجنيهات للاقتصاد.","Politics"
"ماذا يجري في النيجر... هل فشلت سياسة الاتحاد الأوروبي في الحد من الهجرة غير الشرعية","Politics"
"محمد غازي أيضا وهو كاتب كويتي لديه مؤلّف باللغة الإنكليزية يحمل عنوان Blue استغرب بتغريدة عملية حظر كتابه.","Politics"
"وانسحبت هذه القوات في أكتوبر تشرين الأول من عام 2017 مما أثار مخاوف أمنية في إقليم ديفا.","Politics"
"وأدى إضراب عمال النظافة لترك الكثير من صناديق القمامة مملوءة عن آخرها، وتملأ الحفر الشوارع، بينما يعاني نظام النقل المحلي من أزمة خانقة.","Politics"
"وأشار إلى أنه حصل على ردود أفعال متعددة، إيجابية وسلبية، والسلبية منها تراوحت ما بين استخدامه لأرض دون ترخيص، وترويجه لكتب إباحية أو كتب لا دينية.","Politics"
"وأضافت أن أكثر من 200 مسلح تم ""تحييدهم"" بضربات جوية وقتلت القوات النيجر على الأرض 87 مسلحا.","Politics"
"وأضافت فريلاند أن طرد فنزويلا لدبلوماسي كندي مطلع هذا الأسبوع “مثال على ممارسات نظام مادورو الذي يواصل تقويض كل جهود استعادة الديمقراطية ومساعدة شعب فنزويلا”.","Politics"
"وأضافت في البيان “الكنديون لن يقفوا بجانب حكومة فنزويلا التي تحرم شعبها من الحقوق الديمقراطية والإنسانية الأساسية وتمنعه من الحصول على المساعدات الإنسانية الضرورية”.","Politics"
"وأظهر مقطع جرى تداوله على الإنترنت في الآونة الأخيرة، مجموعة من الخنازير البرية تأكل من القمامة في شارع بالمدينة. وأظهر مقطع آخر هذا العام خنزيرا كبيرا يجري على طريق رئيسي أمام أنظار السائقين المذهولين.","Politics"
"وأكد أنه تمت إزالة المقبرة بعد 3 ساعات، لكن للآن لم يتم التواصل معه من قبل الجهات المسؤولة.","Politics"
"وألمح إلى أن السبب في نجاح هذا العمل أنه لم يزعج أحدا، ولم يعق حركة شخص مثلا، أو أضر بآخر، فالعمل سلمي تماما على حد تعبيره.","Politics"
"وبحث الشيخ محمد بن زايد وعمران خان قضايا إقليمية ودولية وسبل تعزيز العلاقات بين البلدين، وشددا على أهمية دعم المجتمع الدولي لتحقيق الأمن والسلام في دول المنطقة، ومحاربة الإرهاب والتطرف بكل أشكاله.","Politics"
"وبحسب التقارير، فإن مويرا بوكسال، وهي سيدة تبلغ من العمر 72 عاما، تفاجأت بروية الثعبان، الذي يبلغ طوله 60 سم، عند وصولها إلى إسكتلندا، بعد رحلة إلى أستراليا لزيارة ابنتها.","Politics"
"وتحت وسم #روما ديتشيه باستا، أو روما تقول كفى، انضم سكان إلى جمعيات ومنظمات من المجتمع المدني لتنظيم احتجاج يوم السبت الذي يقدر مراسلون من رويترز عدد المشاركين فيه بما يتراوح بين خمسة وثمانية آلاف.","Politics"
"وتعتبر الامارات والسعودية بلدين جاذبين للعمالة الباكستانية في الخارج، وتتمتع السعودية بروابط أمنية خاصة مع باكستان، وكان قد صرح خلال الزيارة للسعودية بأن بلاده تقف مع السعودية دائما، وأن المملكة ساعدت بلاده عندما احتاجت المساعدة.","Politics"
"وتقول رادجي، وهي أول امرأة في تاريخ المدينة تتولى رئاسة البلدية، إنها تحتاج مزيدا من الوقت للتغلب على المشاكل الهائلة في روما وإنها تحرز بالفعل تقدما جيدا.","Politics"
"وتقول فنزويلا إن حكومات غربية تسعى لتشجيع انقلاب يقوده اليمين.","Politics"
"وتنتمي رادجي لحركة 5-نجوم المناهضة للمؤسسات ووصلت إلى السلطة بعد موجة من السخط العام من فضائح سياسية هزت إدارات سابقة تديرها أحزاب اليسار واليمين.","Politics"
"وتنفذ بوكو حرام هجمات في النيجر وتشاد والكاميرون من معقلها في شمال شرق نيجيريا حيث تقاتل منذ أكثر من تسع سنوات لإقامة دولة خلافة.","Politics"
"وتنقل الثعبان في الحقيبة في 3 رحلات، مدتها 40 ساعة، من كوينزلاند إلى غلاسكو.","Politics"
"وحضر اللقاء الشيخ سيف بن زايد آل نهيان نائب رئيس مجلس الوزراء وزير الداخلية والشيخ منصور بن زايد آل نهيان نائب رئيس مجلس الوزراء وزير شؤون الرئاسة، وحضره من الجانب الباكستاني مخدوم شاه قريشي وزير شؤون الخارجية أسد عمر وزير المالية وشودي فواد حسين وزير الاعلام والإذاعة، وعبد الرزاق داود مستشار رئيس الوزراء لشؤون التجارة.","Politics"
"وزادت وتيرة انتقاد دول غربية وأخرى مجاورة من أمريكا اللاتينية هذا العام للرئيس نيكولاس مادورو الذي تتهمه بتدمير الديمقراطية وحقوق الإنسان.","Politics"
"وصل رئيس الوزراء الباكستاني عمران خان إلى الإمارات العربية المتحدة الأربعاء، في إطار جولته الرسمية الأولى، حيث التقى ولي عهد أبو ظبي الشيخ محمد بن زايد آل نهيان.","Politics"
"وعزز مقتل فتاة عمرها 16 عاما، عُثر على جثتها في مبنى مهجور يستخدمه تجار المخدرات، المخاوف بشأن مدى تطبيق القانون في المدينة. وقالت الشرطة إن الفتاة تعرضت لاغتصاب جماعي، واعتقلت أربعة مهاجرين.","Politics"
"وفي حديثه مع يورونيوز، أكد الفنان محمد شرف أن لخطوته هذه هدفين، الأول هو إلقاء الضوء على هذه الكتب التي حُظرت، أما الثاني، وعلى حد تعبيره، فهو أن نظهر للناس كيف يمكننا أن نعبر عن رفضنا لفكرة ما بطريقة سلمية، دون اعتصامات أو ندوات، أو حتى الكتابة في الصحف، وهذه الطرق يمكن أن تلاقي استحسان شريحة واسعة وأن تصل الرسالة بطريقة أسهل، أو أن تصل إلى شرائح مختلفة قد لا تكون مهتمة في هذا الموضوع"".","Politics"
"وفي يونيو حزيران 2016، لقي أكثر من 30 من جنود النيجر حتفهم خلال هجوم نفذته بوكو حرام على بلدة بوسو مما دفع تشاد إلى إرسال ألفي جندي لمساعدة جارتها في التصدي للمسلحين.","Politics"
"وقال ""نحتاج بشكل ملح لوضع هذه الخطوط الاسترشادية في قانون عام للتعجيل باتخاذ إجراء منسق وجرئ وطموح يحمي قلوب الناس أينما يعيشون في المملكة المتحدة"".","Politics"
"وقال المتحدث باسم التحالف إن عدد المدنيين الذين تأكد حتى الآن مقتلهم عرضا في تلك الحملة العسكرية هو 104 مدنيين لكنه لم يستبعد ارتفاع هذا العدد. وقال الكولونيل شون ريان في رسالة بالبريد الإلكتروني لرويترز ""إذا كان هناك ما يتردد عن قتلى مدنيين.. فسنتحقق من ذلك بالمضاهاة مع سجلاتنا الموجودة"".","Politics"
"وقال سيمون جيليسبي الرئيس التنفيذي لمؤسسة القلب البريطانية إن ""آلاف الأرواح تزهق سنويا في المملكة المتحدة لأن الهواء الذي نتنفسه يحتوى على جزئيات خطيرة"". وأضاف أن من الضروري دعم هذه الاستراتيجية بإجراء تشريعي.","Politics"
"وقال مايكل جوف وزير البيئة البريطاني في بيان ""تلوث الهواء يواصل تقصير الأعمار وإلحاق الضرر بأولادنا وتقليص جودة الحياة. علينا اتخاذ إجراء قوي وعاجل"".","Politics"
"وقال مدير قسم البحث العالمي في منظمة العفو الدولية هذا الشهر إن من المعتقد أن أغلب الجثث التي انتشلت من الرقة، وهي نحو 2500 جثة، تعود لمدنيين قتلوا في ضربات جوية.","Politics"
"وقال:""لم أبق لأشرح الهدف من الشواهد، فالعمل يتحدث عن نفسه""، وأضاف:""هنالك قوانين تمنع الكتب بسبب محتواها أو بسبب الكاتب نفسه، لكن باعتقادي الشخصي، فالكثير من الكتب منعت بطريقة عشوائية وغير دقيقة أو علمية أو مدروسة، بعضها منع لوجود كلمة غير مرغوبة، أو لوجود صورة مثلا، والكتب التي حُظرت هي كتب إسلامية وسياسية، وحتى بعض قصص الأطفال كانت من ضمن الممنوعات"".","Politics"
"وقالت الحكومة إن بريطانيا ستصبح أول اقتصاد كبير يتبنى أهداف بشأن جودة الهواء تعتمد على توصيات منظمة الصحة العالمية فيما يتعلق بتعرض الناس للجزئيات الضارة.","Politics"
"وقالت فريلاند في بيان إن السفير لم يعد مرحبا به في كندا وإن القائم بأعمال سفارة فنزويلا شخص غير مرغوب فيه.","Politics"
"وقالت ماريتا موناكو (57 عاما) التي شاركت في الاحتجاج ""نحن هنا لأن روما تستحق ما هو أفضل ولأنها في حالة من الإهمال لم نشهد مثلها من قبل"".","Politics"
"وقالت وزارة البيئة والغذاء والشؤون الريفية إنها تهدف إلى تقليص تكاليف تلوث الهواء على المجتمع 1.7 مليار جنيه استرليني سنويا بحلول 2020 ليزداد إلى 5.3 مليون جنيه سنويا ابتداء من 2030.","Politics"
"وقالت وزارة الدفاع بالنيجر في بيان يوم الأربعاء إن الجيش بدأ يوم الجمعة عملية واسعة ضد الجماعة على امتداد نهر كومادوجو بجنوب شرق البلاد والذي يفصل النيجر عن نيجيريا.","Politics"
"وقد غادر عمران خان البلاد حيث كان في وداعه الشيخ محمد بن زايد آل نهيان.","Politics"
"وكان خان قد توجه إلى المملكة العربية السعودية، وزار خلال تواجده السمجد النبوي في المدينة، ومن ثم انتقل إلى جدة على البحر الأحمر حيث التقى بالملك سلمان، في قصر السلام.","Politics"
"وكانت فنزويلا سحبت سفيرها احتجاجا على عقوبات فرضتها الحكومة الكندية على نظام مادورو في سبتمبر أيلول.","Politics"
"وكمثلها من المنتمين لفصيلة الأورانغوتان، يعيش صغار انسان الغاب بصحبة أمهاتهم حتى سن ثمانية أعوام وبعد ذلك يمكنهم العيش في البرية لمدة 40 سنة أو50 سنة في حدائق الحيوان.","Politics"
"ونشرت الحكومة العام الماضي خططا لخفض الانبعاثات من السيارات والطائرات. وبالإضافة إلى السيارات سيتم الاستغناء تدريجيا عن القطارات التي لا تعمل إلا بالديزل فقط بحلول 2040.","Politics"
"ويدرج الاتحاد الدولي للحفاظ على الطبيعة فصيلة الأورانغوتان ضمن فصائل الحيوانات المهددة بالانقراض نتيجة لإزالة أشجار الغابات والصيد غير المشروع بموطنه الأصلي بماليزيا وإندونيسيا مما حصر من اعدادها المتبقية لتصل إلى ما بين 50000 و60000 حول العالم.","Politics"
"ويرجح أن يكون الثعبان قد مر في فترة سبات، تخلص فيها من جلده القديم، خلال فترة الرحلة.","Politics"
"ويقول منتقدون إن حالة المدينة في تدهور منذ سنوات واتهموا رئيسة البلدية فرجينيا رادجي، التي تولت المنصب في 2016، بعدم الوفاء بتعهداتها خلال حملتها الانتخابية بالقضاء على مشكلة تراكم القمامة.","Politics"
"يذكر أن السيدة اتصلت بأحد مراكز الحيوانات، للامساك بالثعبان، حيث وضع في مركز مخصص للزواحف في أدنبره.","Politics"
"يطبق فرق السعر على متوسط التسويات اليومية لعقد أقرب استحقاق للخام العماني تسليم أبريل نيسان في نهاية فبراير شباط لتحديد سعر البيع الرسمي لخام دبي تحميل أبريل نيسان.","Politics"
"الحديث هنا تحديداً يخص محتويات نتائج البحث عن الصور وتطبيقات خرائط غوغل وتطبيقات تحديد المواقع الأخرى التابعة للشركة.","Politics"
"الناتج الصناعي الألماني يرتفع 0.2% في سبتمبر","Politics"
"إضافة إلى مشاكل ومخالفات قانونية وغرامات تواجه الشركة، كان آخرها غرامة بقيمة نحو مليونين ونصف المليون يورو بسبب تسخير غوغل محرك بحثها لإعطاء خدمات التسوق خاصتها تفضيلات غير قانونية على حساب الخدمات التابعة لجهات أخرى.","Politics"
"برلين (رويترز) - أظهرت بيانات يوم الأربعاء أن الناتج الصناعي الألماني زاد أكثر قليلا من المتوقع في سبتمبر أيلول مما يبعث على بعض الطمأنينة بشأن متانة أكبر اقتصاد في أوروبا في الربع الثالث من العام.","Politics"
"تحقيق أمريكي وأوروبي باختراق لغوغل كشف بيانات 500 ألف مستخدم","Politics"
"سانت أندروز (اسكتلندا) (رويترز) - قال مدير جهاز المخابرات الخارجية البريطانية (ام.آي 6) يوم الاثنين إن كفة التوازن العالمي تميل لصالح الصين، مع تحقيق ثاني أكبر اقتصاد في العالم لمكاسب مالية ضخمة، إضافة إلى زيادة النفوذ العالمي والهيمنة التكنولوجية.","Politics"
"سريلانكا تسلم رسميا ميناء لشركة صينية وتحصل على 292 مليون دولار","Politics"
"في حين قال متحدث باسم غوغل أن هذه الصور التي توفرها خدمات البحث وتطبيقات غوغل إيرث وغوغل مابس يتم توفيرها من قبل موردين خارجيين، وأن الشركة أعطت قائمة بالمواقع الحساسة لمورديها وطلبت منهم اتخاذ كل الخطوات الضرورية بأسرع وقت ممكن لتطبيق القانون.","Politics"
"في سبتمبر / أيلول، هيئة حماية البيانات الفرنسية رفعت دعوى على شركة غوغل أمام محكمة العدل الأوروبية في محاولة لإجبار الشركة على إلغاء نتائج البحث الحساسة على مستوى العالم، وليس فقط تحت نطاق .fr المحلي، ومن المتوقع صدور الحكم في أوائل عام 2019.","Politics"
"كولومبو (رويترز) - قال وزير المالية السريلانكي مانجالا ساماراويرا إن بلاده سلمت رسميا يوم السبت الأنشطة التجارية في مينائها الرئيسي بجنوب البلاد لشركة صينية وحصلت على 292 مليون دولار من صفقة قيمتها 1.12 مليار دولار.","Politics"
"للمزيد على يورونيوز:","Politics"
"محكمة لندن العليا تمنع محاولة لإجراء قانوني بحقّ غوغل","Politics"
"مدير المخابرات البريطانية يقول التوازن العالمي يميل إلى الصين","Politics"
"واشتكت وزيرة العدل أن مطالبها بإزالة هذه البيانات لم تلق آذاناً صاغية وأن اللقطات الجوية لا تزال موجودة.","Politics"
"وأظهرت بيانات وزارة الاقتصاد أن الناتج الصناعي زاد 0.2 بالمئة ليفوق بقليل توقعات رويترز لارتفاع نسبته 0.1 بالمئة.","Politics"
"كشفت شركة «أبل» عن الجيل الثاني من هاتفها «آيفون إس إي» iPhone SE الذي يقدم أداء عاليا في شاشة صغيرة وسعر منخفض. ويمكن القول إن آيفون إس إي الجديد هو عبارة عن «آيفون 8» بمعالج مطور، أو «آيفون 11» بشاشة وبطارية أصغر وقدرات تصويرية أقل في تصميم سابق.","Technology"
"  تصميم الهاتف مشابه لهاتف «آيفون 8»، مع استخدام الألمنيوم في الهيكل وخلفية زجاجية. ونظرا لأن معالج الهاتف هو نفسه المستخدم في «آيفون 11»، فإنه يدعم تقنيات التعلم الآلي بهدف إيجاد توازن بين الأداء والكفاءة. كما تقدم تقنيات التعلم الآلي قدرات لتطوير جودة الصور الملتقطة وضبط عُمق الصورة للكاميرا الخلفية أو الأمامية. وتستطيع تقنية المجال العالي الديناميكي High Dynamic Range HDR إعادة إضاءة العناصر التي يتم التعرف عليها في الصورة لجعلها تبدو أكثر طبيعية وبالتفاصيل المطلوبة، وتستطيع الكاميرا الخلفية تسجيل عروض الفيديو بالدقة الفائقة 4k بسرعة 60 صورة في الثانية، مع سهولة تحرير عروض الفيديو مباشرة من على الهاتف من خلال أدوات خاصة.","Technology"
"  وتم تصميم الهاتف بميزات الأمان التي تحمي الخصوصية وتقدم القدرة على التحكم بمعلومات المستخدمين، مثل ميزة «تاتش آي دي» Touch ID و«المنطقة الآمنة» Secure Enclave لحماية بيانات بصمات الأصابع، وخاصية منع التتبع الإعلاني في متصفح «سفاري» لمنع المعلنين الذين يتتبعون المستخدم من موقع لآخر.","Technology"
"  يبلغ قطر شاشة الهاتف 4.7 بوصة، وهي تعرض الصورة بدقة 326 بكسل في البوصة وبدقة 1334x750 بكسل، مع استخدام 3 غيغابايت من الذاكرة للعمل و64 أو 128 أو 256 غيغابايت من السعة التخزينية المدمجة. ويستخدم الهاتف معالج A13 سداسي النواة (من نواتين بسرعة 2.65 غيغاهرتز و4 أنوية بسرعة 1.8 غيغاهرتز). وتبلغ دقة الكاميرا الخلفية 12 ميغابكسل، بينما تبلغ دقة الكاميرا الأمامية 7 ميغابكسل.","Technology"
"  ويقدم الجوال مستشعر بصمة في الجهة الأمامية، ويستخدم بطارية بشحنة 1821 ملي أمبير – ساعة تدعم الشحن السريع بقدرة 18 واط أو الشحن اللاسلكي. الجوال مقاوم للمياه والغبار وفقا لمعيار IP67 (مقاوم للمياه لغاية عمق متر واحد لمدة 30 دقيقة)، وهو يدعم شبكات الجيل الرابع للاتصالات. ويعمل الهاتف بنظام التشغيل «آي أو إس 13»، ويدعم شبكات «واي فاي a وb وg وn وac وax وبلوتوث 5.0» اللاسلكية، مع دعم تقنية الاتصال عبر المجال القريب Near Field Communication NFC، ولكنه لا يدعم استقبال بث الراديو «إف إم» ولا يقدم منفذا للأشعة تحت الحمراء للتحكم بالأجهزة الإلكترونية المختلفة أو منفذا للسماعات الرأسية القياسية.","Technology"
"  الجوال متوافر بألوان الأسود أو الأبيض أو الأحمر، ويبلغ وزنه 148 غراما ويبلغ سمكه 7.3 مليمتر، وتبدأ أسعاره من 1699 ريالا سعوديا (نحو 453 دولارا) وفقا للسعة التخزينية المرغوبة، وهو متوافر بدءا من يوم الجمعة الماضي. وتجدر الإشارة إلى أن الشركة ستخصص جزءا من عائدات بيع الإصدار الأحمر لصالح صندوق الاستجابة لوباء «كوفيد - 19» لتوفير التمويل للبلدان التي تحتاج إلى معدات الوقاية الشخصية والتشخيص والعلاج واتصالات متعلقة بالسلامة العامة ودعم سلاسل التوريد، وغيرها.","Technology"
"  ولدى مقارنة الهاتف مع «آيفون 11»، نجد أن «آيفون 11» يتفوق في دعم استخدام شريحتي اتصال حقيقيتين، ويدعم «آيفون إس إي» شريحة واحدة حقيقية وشريحة إلكترونية، ومقاومة المياه والغبار معيار IP68 مقارنة بـIP67، وقطر الشاشة 6.1 مقارنة بـ4.7 بوصة، ودقتها 1792x828 مقارنة بـ1334x750 بكسل، والذاكرة (4 مقارنة بـ3 غيغابايت)، والكاميرا الخلفية (به كاميرتان كل منهما بدقة 12 مقارنة بواحدة فقط بدقة 12 ميغابكسل)، والأمامية (12 مقارنة بـ7 ميغابكسل)، مع دعم لبصمة الوجه، وشحنة البطارية (3110 مقارنة بـ1821 ملي أمبير – ساعة). ويتعادل الهاتفان في نوع المعالج وعدد أنويته وسرعتها، وكثافة الشاشة، والسعة التخزينية المدمجة، ودعم الشبكات اللاسلكية، بينما يتفوق «آيفون إس إي» في الوزن (148 مقارنة بـ194 غراما) والسمك (7.3 مقارنة بـ8.3 مليمتر).","Technology"
"  أما لدى مقارنة الهاتف بـ«غوغل بكسل 3 إيه» Google Pixel 3a، فنجد أن «بكسل 3 إيه» يتفوق في قطر الشاشة (5.6 مقارنة بـ4.7 بوصة)، ودقة الشاشة 2220x1080 مقارنة بـ1334x750 بكسل، وكثافة العرض (441 مقارنة بـ356 بكسل)، والذاكرة (4 مقارنة بـ3 غيغابايت)، وشحنة البطارية (3000 مقارنة بـ1821 ملي أمبير – ساعة)، والكاميرا الأمامية (8 مقارنة بـ7 ميغابكسل)، والخلفية (12.2 مقارنة بـ12 ميغابكسل)، وتقديم منفذ للسماعات الرأسية، والوزن (147 مقارنة بـ148 غراما)، والسعر (399 مقارنة بـ453 دولارا). ويتعادل الهاتفان في قدرات تسجيل عروض الفيديو، بينما يتفوق «آيفون إس إي» في السعات التخزينية (64 و128 و256 مقارنة بـ64 غيغابايت) والسمك (7.3 مقارنة بـ8.2 مليمتر). وعلى الرغم من أن معالجي الهاتفين مختلفان، فإن عدد أنوية «بكسل 3 إيه» أعلى (8 مقارنة بـ6 أنوية، بينما يدعم «آيفون إس إي» سرعة 2.65 غيغاهرتز لنواتين مقارنة بـ2 غيغاهرتز).","Technology"
"  ونقارن الهاتف أيضا مع «سامسونغ غالاكسي إيه 51» Samsung Galaxy A51، حيث نجد أن «غالاكسي إيه 51» يتفوق في قطر الشاشة (6.5 مقارنة بـ4.7 بوصة)، ودقة الشاشة 2400x1080 مقارنة بـ1334x750 بكسل)، وكثافة العرض (405 مقارنة بـ356 بكسل)، والذاكرة (4 مقارنة بـ3 غيغابايت)، وشحنة البطارية (4000 مقارنة بـ1821 ملي أمبير – ساعة)، والكاميرا الأمامية (32 مقارنة بـ7 ميغابكسل)، والخلفية (4 كاميرات بدقة 48 و12 و5 و5 مقارنة بـ12 ميغابكسل)، وقدرات تسجيل عروض الفيديو (الدقة الفائقة بسرعة 120 صورة في الثانية مقارنة بـ60 صورة في الثانية)، وتقديم منفذ للسماعات الرأسية، والسعر (350 مقارنة بـ453 دولارا). ويتفوق «آيفون إس إي» في السعات التخزينية (64 و128 و256 مقارنة بـ128 غيغابايت)، والسمك (7.3 مقارنة بـ7.9مليمتر)، والوزن (147 مقارنة بـ172 غراما). وعلى الرغم من أن معالجي الهاتفين مختلفان، فإن عدد أنوية «غالاكسي إيه 51» أعلى (8 مقارنة بـ6 بينما يدعم «آيفون إس إي» سرعة 2.65 غيغاهرتز لنواتين مقارنة بـ2.","Technology"
"علبة لـ«آي فون».. تمكن من التصوير بشكل احترافي  ","Technology"
"ديفيد باسيلتو أستاذ في مدرسة ثانوية في سان مارينو في كاليفورنيا، يعتقد أن بمقدوره القيام بعمل أفضل مع تلك الصور والفيديوهات التي يجري التقاطها بواسطة هاتف «آي فون»، أو جهاز «آي باد»، هذا إذا جرى تلقي مساعدة صغيرة من أداة قام بصنعها وتدعى «آي أوغرافر» (iOgrapher).","Technology"
